Atribut,Ugradjena,Permutation
hr_17,0.1358658,0.28756152987480166
hr_18,0.10166987,0.2637198269367218
hr_8,0.08421324,0.26237558722496035
hr_3,0.077857345,0.2561363458633423
hr_2,0.06591709,0.17064232230186463
hr_4,0.05857321,0.140443617105484
hr_1,0.05348198,0.09590121507644653
hr_5,0.04754599,0.08604024648666382
hr_19,0.03822223,0.06395527720451355
workingday,0.030130183,0.057940393686294556
yr,0.024522593,0.04425341486930847
hr_16,0.024438608,0.04400901198387146
hr_7,0.02413342,0.04122585654258728
atemp,0.021556335,0.03462164402008057
hr_23,0.020940384,0.03460248112678528
hr_6,0.018634645,0.03350763320922852
hr_9,0.013210655,0.033157169818878174
hr_14,0.01285228,0.028312158584594727
temp,0.011921756,0.02778739333152771
hr_13,0.010783109,0.027223455905914306
season_4,0.010710251,0.021796315908432007
hr_12,0.0106294835,0.020579487085342407
hr_20,0.00939395,0.018068963289260866
hum,0.008516481,0.017512476444244383
hr_11,0.007894832,0.01610378623008728
weathersit_3,0.0073196013,0.012111586332321168
hr_15,0.0069110324,0.010689234733581543
weekday_6,0.004831565,0.009043079614639283
mnth_10,0.0041948273,0.006987243890762329
hr_10,0.004122465,0.00540848970413208
mnth_9,0.003486118,0.005396741628646851
hr_21,0.003446967,0.004426395893096924
hr_22,0.003399489,0.004204285144805908
weekday_5,0.0032353129,0.0035236477851867676
mnth_11,0.0032057604,0.003175884485244751
season_3,0.0027276785,0.002694880962371826
mnth_2,0.002394279,0.002496284246444702
season_2,0.002139168,0.0018078088760375977
weekday_2,0.0020733047,0.00142095685005188
mnth_5,0.0020682428,0.001325845718383789
weekday_1,0.002035485,0.0012929558753967286
mnth_4,0.001958579,0.0012432873249053956
holiday,0.0019091917,0.001187610626220703
mnth_12,0.0018880263,0.0010580122470855713
mnth_8,0.0018659028,0.0008991599082946777
weekday_4,0.0018363878,0.0008659541606903076
windspeed,0.0017541273,0.000768744945526123
weekday_3,0.0017211103,0.0007458627223968506
mnth_3,0.0016848258,0.0006172835826873779
weathersit_2,0.0015953295,0.0005354166030883789
mnth_6,0.001426348,0.0005204319953918457
mnth_7,0.001153111,0.0
weathersit_4,0.0,-7.110238075256348e-05
